id,name,gender,yearOfBirth,url,longitude,latitude
12,"Armstead, Henry Hugh",Male,1828,http://www.tate.org.uk/art/artists/henry-hugh-armstead-12,-0.127758,51.5074
665,"Armstrong, John",Male,1893,http://www.tate.org.uk/art/artists/john-armstrong-665,0.573453,50.8543
13,"Arnald, George",Male,1763,http://www.tate.org.uk/art/artists/george-arnald-13,-1.2814,51.466
666,"Arnatt, Keith",Male,1930,http://www.tate.org.uk/art/artists/keith-arnatt-666,-1.25773,51.752
667,"Arp, Jean",Male,1886,http://www.tate.org.uk/art/artists/jean-arp-hans-arp-667,13.7455,53.5119
16236,Art & Language (Ian Burn),Male,1939,http://www.tate.org.uk/art/artists/art-language-ian-burn-16236,144.361,-38.1485
16838,Art & Language (Michael Baldwin),Male,1945,http://www.tate.org.uk/art/artists/art-language-michael-baldwin-16838,-1.54219,51.9435
2474,"Artaud, William",Male,1763,http://www.tate.org.uk/art/artists/william-artaud-2474,-0.127758,51.5074
669,"Artschwager, Richard",Male,1923,http://www.tate.org.uk/art/artists/richard-artschwager-669,-77.0369,38.9072
670,"Askew, Victor",Male,1909,http://www.tate.org.uk/art/artists/victor-askew-670,-1.3635,53.4326
5229,"Ataman, Kutlug",Male,1961,http://www.tate.org.uk/art/artists/kutlug-ataman-5229,28.977,41.0053
6630,"Atay, Fikret",Male,1974,http://www.tate.org.uk/art/artists/fikret-atay-6630,41.1351,37.8812
15601,"Atkins, Ed",Male,1982,http://www.tate.org.uk/art/artists/ed-atkins-15601,-3.43597,55.3781
671,"Atkinson, Conrad",Male,1940,http://www.tate.org.uk/art/artists/conrad-atkinson-671,-2.79748,54.5772
2412,"Atkinson, John Augustus",Male,1775,http://www.tate.org.uk/art/artists/john-augustus-atkinson-2412,-0.127758,51.5074
11829,"Atkinson, Terry",Male,1939,http://www.tate.org.uk/art/artists/terry-atkinson-11829,-1.47973,53.5526
673,"Atlan, Jean-Michel",Male,1913,http://www.tate.org.uk/art/artists/jean-michel-atlan-673,,
15557,"Atlas, Charles",Male,1958,http://www.tate.org.uk/art/artists/charles-atlas-15557,-90.1994,38.627
13674,"Attia, Kader",Male,1970,http://www.tate.org.uk/art/artists/kader-attia-13674,2.41698,48.9522
674,"Atwood, Clare",Female,1866,http://www.tate.org.uk/art/artists/clare-atwood-674,-0.303742,51.4613
675,"Auerbach, Arnold",Male,1898,http://www.tate.org.uk/art/artists/arnold-auerbach-675,-2.99157,53.4084
676,"Auerbach, Frank",Male,1931,http://www.tate.org.uk/art/artists/frank-auerbach-676,13.405,52.52
14648,"Augustyniak, Mathias",Male,1968,http://www.tate.org.uk/art/artists/mathias-augustyniak-14648,5.04078,43.8366
2398,"Austen, David",Male,1960,http://www.tate.org.uk/art/artists/david-austen-2398,0.087806,51.7678
677,"Austin, Robert",Male,1895,http://www.tate.org.uk/art/artists/robert-austin-677,-1.13976,52.6369
5711,"Avedon, Richard",Male,1923,http://www.tate.org.uk/art/artists/richard-avedon-5711,-74.0059,40.7128
10764,"Avery, Charles",Male,1973,http://www.tate.org.uk/art/artists/charles-avery-10764,-5.47105,56.4152
678,"Avery, Milton",Male,1893,http://www.tate.org.uk/art/artists/milton-avery-678,-76.0021,43.5101
679,"Ayot, Pierre",Male,1943,http://www.tate.org.uk/art/artists/pierre-ayot-679,-73.5491,52.9399
680,"Ayres, OBE Gillian",Female,1930,http://www.tate.org.uk/art/artists/gillian-ayres-obe-680,-0.127758,51.5074
681,"Ayrton, Michael",Male,1921,http://www.tate.org.uk/art/artists/michael-ayrton-681,-0.127758,51.5074
14743,"Baalbaki, Ayman",Male,1975,http://www.tate.org.uk/art/artists/ayman-baalbaki-14743,,
13866,"B�_ckstr�_m, Miriam",Female,1967,http://www.tate.org.uk/art/artists/miriam-backstrom-13866,18.0686,59.3293
682,"Bacon, Francis",Male,1909,http://www.tate.org.uk/art/artists/francis-bacon-682,-6.26031,53.3498
683,"Bacon, John Henry F.",Male,1868,http://www.tate.org.uk/art/artists/john-henry-f-bacon-683,-0.127758,51.5074
684,"Baer, Jo",Female,1929,http://www.tate.org.uk/art/artists/jo-baer-684,-122.332,47.6062
685,"Baertling, Olle",Male,1911,http://www.tate.org.uk/art/artists/olle-baertling-685,12.82,56.6908
16,"Baily, Edward Hodges",Male,1788,http://www.tate.org.uk/art/artists/edward-hodges-baily-16,-2.58791,51.4545
686,"Baj, Enrico",Male,1924,http://www.tate.org.uk/art/artists/enrico-baj-686,9.18592,45.4654
13678,"Bakhshi Moakhar, Mahmoud",Male,1977,http://www.tate.org.uk/art/artists/mahmoud-bakhshi-moakhar-13678,51.4231,35.6961
687,"Baldessari, John",Male,1931,http://www.tate.org.uk/art/artists/john-baldessari-687,-117.099,32.6781
2360,"Balka, Miroslaw",Male,1958,http://www.tate.org.uk/art/artists/miroslaw-balka-2360,21.0122,52.2297
688,"Balla, Giacomo",Male,1871,http://www.tate.org.uk/art/artists/giacomo-balla-688,7.68686,45.0703
12038,"Ballen, Roger",Male,1950,http://www.tate.org.uk/art/artists/roger-ballen-12038,-74.0059,40.7128
5373,"Baltz, Lewis",Male,1945,http://www.tate.org.uk/art/artists/lewis-baltz-5373,-117.929,33.6189
690,"Banc, Jef",Male,1930,http://www.tate.org.uk/art/artists/jef-banc-690,2.35222,48.8566
2687,"Banner, Fiona",Female,1966,http://www.tate.org.uk/art/artists/fiona-banner-2687,-1.17432,52.3555
691,"Banting, John",Male,1902,http://www.tate.org.uk/art/artists/john-banting-691,-0.174936,51.4851
692,"Baran, Stefan",Male,1922,http://www.tate.org.uk/art/artists/stefan-baran-692,3.63848,49.0746
4731,"Barclay, Claire",Female,1968,http://www.tate.org.uk/art/artists/claire-barclay-4731,-4.44011,55.8473
18,"Barenger, James",Male,1780,http://www.tate.org.uk/art/artists/james-barenger-18,-0.127758,51.5074
12686,"Barham, Anna",Female,1974,http://www.tate.org.uk/art/artists/anna-barham-12686,-1.82404,52.5704
693,"Barker, Clive",Male,1940,http://www.tate.org.uk/art/artists/clive-barker-693,-0.420025,51.8787
694,"Barker, Margaret",Female,1907,http://www.tate.org.uk/art/artists/margaret-barker-694,-0.939737,51.7123
19,"Barker, Thomas, of Bath",Male,1769,http://www.tate.org.uk/art/artists/thomas-barker-of-bath-19,-3.04527,51.7004
695,"Barlach, Ernst",Male,1870,http://www.tate.org.uk/art/artists/ernst-barlach-695,9.71375,53.5824
10908,"Barlow, Phyllida",Female,1944,http://www.tate.org.uk/art/artists/phyllida-barlow-10908,-1.61778,54.9783
2362,"Barney, Matthew",Male,1967,http://www.tate.org.uk/art/artists/matthew-barney-2362,-122.419,37.7749
696,"Barni, Roberto",Male,1939,http://www.tate.org.uk/art/artists/roberto-barni-696,10.9079,43.9303
697,"Barns-Graham, Wilhelmina",Female,1912,http://www.tate.org.uk/art/artists/wilhelmina-barns-graham-697,-2.80634,56.3351
14953,"Barrada, Yto",Female,1971,http://www.tate.org.uk/art/artists/yto-barrada-14953,2.35222,48.8566
